piramide_1;piramide_2;mes;año;ues;producto;consumo
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;10;2018;RyT;Hotel Paipa;1388516
1 Emp Grandes;1.1 Platinum;1;2018;RyT;Club la Colina;1874486
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2017;MS;DROGUERIAS;4477155
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;10;2017;Salud;EMPRESARIAL;126400
6 Otros;No Afiliada;4;2018;RyT;Hotel Paipa;83048098
1 Emp Grandes;1.2 Premium;6;2018;AyB;CATERING;26406681
4 Micro;4.7 Transaccional - Independiente;8;2018;RyT;Club la Colina;187563
2 Emp Medio;2.2 Silver;7;2018;RyT;Programas Recreativos;118145959
3 Empresas Pymes;3.2 VIP Estándar;8;2018;RyT;Club Bellavista;9243197
2 Emp Medio;2.2 Silver;12;2018;RyT;Hotel Paipa;20797408
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;RyT;Hotel Alcaravan;6974275
2 Emp Medio;2.1 Gold;8;2018;RyT;Club la Colina;13526286
1 Emp Grandes;1.2 Premium;6;2018;Educación y Cultura;C+T;1,2e+07
4 Micro;4.5 Transaccional;7;2017;MS;#;81925
4 Micro;4.5 Transaccional;9;2018;RyT;Eventos y Convenciones;37723917
6 Otros;No Afiliada;10;2017;Vivienda;Fecha Entrega;6058462960
4 Micro;4.1 Estándar;10;2017;Vivienda;SubsidioEntregado;60974531
4 Micro;4.1 Estándar;3;2018;RyT;Otros;1940508
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2017;Salud;EMPRESARIAL;83800
4 Micro;4.5 Transaccional;12;2018;RyT;Club la Colina;11409911
4 Micro;4.5 Transaccional;10;2018;MS;DROGUERIAS;102361875
2 Emp Medio;2.1 Gold;1;2018;Salud;;32427850
2 Emp Medio;2.1 Gold;11;2018;RyT;Club El Cubo;165481877
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Hotel Alcaravan;0
3 Empresas Pymes;3.1 VIP;6;2018;RyT;Programas Deportivos;57652864
3 Empresas Pymes;3.2 VIP Estándar;3;2018;MS;SUPERMERCADOS;277862807
3 Empresas Pymes;3.1 VIP;10;2018;RyT;Hotel Alcaravan;3770428
6 Otros;No Afiliada;9;2017;MS;SUPERMERCADOS;10906007500
2 Emp Medio;2.1 Gold;3;2018;RyT;Club la Colina;4539298
4 Micro;4.1 Estándar;11;2018;RyT;Hotel Bosques de Athan;12970658
1 Emp Grandes;1.2 Premium;9;2017;Vivienda;Fecha Promesa;103234000
1 Emp Grandes;1.2 Premium;7;2018;AyB;CATERING;29473118
6 Otros;No Afiliada;11;2018;MS;DROGUERIAS;467043972
2 Emp Medio;2.2 Silver;5;2018;RyT;Piscilago;275000
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Programas Recreativos;10718571
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2017;RyT;;754033
6 Otros;No Afiliada;11;2017;RyT;;4809019371
3 Empresas Pymes;3.1 VIP;7;2018;AyB;SALONES CALLE 26;380501
4 Micro;4.8 Transaccional - Pensionado;4;2018;MS;DROGUERIAS;426441
3 Empresas Pymes;3.1 VIP;9;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;3671150
4 Micro;4.1 Estándar;4;2017;Salud;EMPRESARIAL;39800
6 Otros;No Afiliada;12;2017;Vivienda;Fecha Escritura;198252784
4 Micro;4.5 Transaccional;4;2018;RyT;Club El Cubo;185494655
5 Micro;5.1 Colsubsidio;7;2018;RyT;Club la Colina;7640909
5 Micro;5.1 Colsubsidio;6;2018;Educación y Cultura;C+T;NA
4 Micro;4.8 Transaccional - Pensionado;5;2017;MS;SUPERMERCADOS;106797
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;1;2018;Salud;;84000
4 Micro;4.7 Transaccional - Independiente;12;2018;RyT;Hotel Peñalisa;10239711
5 Micro;5.1 Colsubsidio;8;2018;RyT;Club Bellavista;4622942
2 Emp Medio;2.2 Silver;6;2018;RyT;Club El Cubo;55435631
3 Empresas Pymes;3.2 VIP Estándar;4;2018;Salud;;9794300
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;RyT;Piscilago;31093801
1 Emp Grandes;1.1 Platinum;1;2018;RyT;Club Bellavista;248815845
6 Otros;No Afiliada;4;2018;Educación y Cultura;Teatro;1e+08
6 Otros;No Afiliada;10;2018;RyT;Programas Deportivos;58752775
6 Otros;No Afiliada;2;2017;MS;DROGUERIAS;11670668206
3 Empresas Pymes;3.1 VIP;8;2018;MS;SUPERMERCADOS;612964757
1 Emp Grandes;1.1 Platinum;3;2018;Educación y Cultura;LEO;26800000
1 Emp Grandes;1.2 Premium;1;2018;RyT;Eventos y Convenciones;11216794
6 Otros;No Afiliada;3;2018;RyT;Hotel Paipa;39601330
2 Emp Medio;2.1 Gold;11;2018;RyT;Programas Recreativos;98046575
6 Otros;No Afiliada;6;2018;Educación y Cultura;C+T;26000000,6
2 Emp Medio;2.1 Gold;8;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;415220
4 Micro;4.8 Transaccional - Pensionado;3;2017;MS;DROGUERIAS;2085234
6 Otros;No Afiliada;2;2017;CS-CONVENIOS;CS-CONVENIOS;1319654330
4 Micro;4.5 Transaccional;1;2018;RyT;Otros;6387805
1 Emp Grandes;1.1 Platinum;10;2018;Educación y Cultura;Teatro;48401055
1 Emp Grandes;1.2 Premium;7;2018;Salud;;20316100
2 Emp Medio;2.2 Silver;3;2018;RyT;Programas Recreativos;3974000
2 Emp Medio;2.2 Silver;12;2018;RyT;Piscilago;167047713
3 Empresas Pymes;3.1 VIP;6;2018;Salud;;82428874
4 Micro;4.5 Transaccional;5;2018;RyT;Hotel Paipa;2390301
3 Empresas Pymes;3.1 VIP;2;2018;RyT;Otros;13564109
3 Empresas Pymes;3.1 VIP;10;2018;MS;SUPERMERCADOS;1328997504
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;7;2018;RyT;Eventos y Convenciones;1237804
6 Otros;No Afiliada;3;2017;MS;#;460371091
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Club Calle 195;4611182
4 Micro;4.5 Transaccional;12;2018;RyT;Programas Deportivos;383200
3 Empresas Pymes;3.2 VIP Estándar;6;2018;MS;DROGUERIAS;-308950
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Programas Recreativos;167947453
2 Emp Medio;2.2 Silver;8;2018;RyT;Programas Deportivos;81413599
1 Emp Grandes;1.1 Platinum;1;2018;RyT;Eventos y Convenciones;1082752
4 Micro;4.5 Transaccional;5;2018;RyT;Hotel Alcaravan;108620
2 Emp Medio;2.1 Gold;12;2018;Salud;;72606350
4 Micro;4.5 Transaccional;8;2018;RyT;Piscilago;24627014
4 Micro;4.5 Transaccional;5;2018;RyT;Club Bellavista;3169869
3 Empresas Pymes;3.1 VIP;9;2018;RyT;Club Bellavista;32188098
4 Micro;4.1 Estándar;5;2018;Salud;;11478300
3 Empresas Pymes;3.2 VIP Estándar;12;2018;RyT;Otros;6250329
3 Empresas Pymes;3.2 VIP Estándar;9;2018;RyT;Club Calle 195;1368305
3 Empresas Pymes;3.1 VIP;4;2018;AyB;CATERING;23478387
4 Micro;4.8 Transaccional - Pensionado;1;2018;RyT;Club Bellavista;118800
6 Otros;No Afiliada;3;2017;MS;SUPERMERCADOS;8637069897
3 Empresas Pymes;3.2 VIP Estándar;5;2017;MS;SUPERMERCADOS;1375232
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Eventos y Convenciones;9093222
2 Emp Medio;2.1 Gold;6;2018;RyT;Piscilago;36885551
5 Micro;5.1 Colsubsidio;11;2017;Vivienda;SubsidioEntregado;17705208
6 Otros;No Afiliada;2;2017;Educacion;EDUCACION FORMAL;1932354422
4 Micro;4.1 Estándar;8;2017;Vivienda;SubsidioEntregado;65277603
2 Emp Medio;2.1 Gold;10;2018;RyT;Eventos y Convenciones;114392154
6 Otros;No Afiliada;3;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;9849628
3 Empresas Pymes;3.2 VIP Estándar;6;2017;RyT;;5042
3 Empresas Pymes;3.1 VIP;1;2018;AyB;CATERING;8047422
4 Micro;4.1 Estándar;9;2017;Vivienda;SubsidioAsignado;22131510
1 Emp Grandes;1.2 Premium;5;2018;MS;SUPERMERCADOS;144066926
6 Otros;No Afiliada;9;2018;RyT;Hotel Peñalisa;78144508
4 Micro;4.5 Transaccional;11;2018;RyT;Hotel Bosques de Athan;14224520
3 Empresas Pymes;3.2 VIP Estándar;1;2018;MS;DROGUERIAS;38404035
6 Otros;No Afiliada;10;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;22054057
4 Micro;4.8 Transaccional - Pensionado;12;2017;MS;SUPERMERCADOS;106559
3 Empresas Pymes;3.1 VIP;1;2017;RyT;;4326000
6 Otros;No afiliada;5;2017;Salud;EMPRESARIAL;1430350
3 Empresas Pymes;3.1 VIP;4;2018;RyT;Hotel Paipa;10928169
6 Otros;No afiliada;2;2017;Salud;EMPRESARIAL;1841400
2 Emp Medio;2.1 Gold;5;2018;RyT;Eventos y Convenciones;129594727
6 Otros;No Afiliada;1;2018;RyT;Programas Recreativos;-13626872
4 Micro;4.1 Estándar;12;2018;RyT;Club El Cubo;25026589
3 Empresas Pymes;3.1 VIP;3;2018;RyT;Hotel Paipa;49168793
1 Emp Grandes;1.2 Premium;2;2018;RyT;Programas Deportivos;5017469
1 Emp Grandes;1.2 Premium;12;2018;RyT;Club Calle 195;3186235
3 Empresas Pymes;3.1 VIP;3;2018;MS;DROGUERIAS;34171812
3 Empresas Pymes;3.2 VIP Estándar;2;2018;RyT;Club Calle 195;556471
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Hotel Paipa;-18518
4 Micro;4.5 Transaccional;1;2018;RyT;Piscilago;7176246
4 Micro;4.7 Transaccional - Independiente;10;2018;RyT;Club la Colina;312605
1 Emp Grandes;1.1 Platinum;6;2018;MS;SUPERMERCADOS;137273649
4 Micro;4.5 Transaccional;9;2018;RyT;Hotel Paipa;42481220
2 Emp Medio;2.1 Gold;4;2018;RyT;Otros;40155874
4 Micro;4.1 Estándar;8;2018;RyT;Otros;566868
6 Otros;No Afiliada;4;2018;RyT;Club Bellavista;62049805
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Club Bellavista;26960542
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2018;MS;SUPERMERCADOS;3390036
6 Otros;No Afiliada;6;2018;Salud;;49584250
1 Emp Grandes;1.2 Premium;1;2018;MS;SUPERMERCADOS;271897877
3 Empresas Pymes;3.1 VIP;8;2018;Salud;;68433513
3 Empresas Pymes;3.2 VIP Estándar;3;2018;Educación y Cultura;TEATRO;99999999,47
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2018;RyT;Piscilago;2791808
3 Empresas Pymes;3.1 VIP;5;2017;MS;SUPERMERCADOS;1118550
4 Micro;4.5 Transaccional;6;2018;RyT;Piscilago;25797651
2 Emp Medio;2.1 Gold;11;2018;RyT;Piscilago;55494910
2 Emp Medio;2.2 Silver;7;2018;RyT;Club El Cubo;48762482
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;7;2018;MS;DROGUERIAS;5246897
2 Emp Medio;2.2 Silver;5;2018;Salud;;15981950
6 Otros;No Afiliada;1;2018;RyT;Hotel Alcaravan;589963
4 Micro;4.5 Transaccional;5;2017;MS;#;37900
5 Micro;5.1 Colsubsidio;11;2018;AyB;CATERING;5344690
6 Otros;No Afiliada;2;2017;MS;SUPERMERCADOS;8802270144
4 Micro;4.1 Estándar;12;2018;RyT;Club la Colina;4212680
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2018;Salud;;67500
2 Emp Medio;2.2 Silver;5;2018;AyB;CATERING;NA
4 Micro;4.5 Transaccional;10;2018;RyT;Eventos y Convenciones;52492437
1 Emp Grandes;1.1 Platinum;7;2018;RyT;Club la Colina;52352650
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Hotel Paipa;30185
2 Emp Medio;2.1 Gold;6;2018;RyT;Club Bellavista;6300834
5 Micro;5.1 Colsubsidio;1;2018;RyT;Club Bellavista;-278738787
2 Emp Medio;2.1 Gold;9;2018;RyT;Eventos y Convenciones;86350526
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;8;2018;Salud;;15410250
2 Emp Medio;2.2 Silver;2;2018;RyT;Hotel Paipa;12568447
2 Emp Medio;2.1 Gold;4;2018;MS;DROGUERIAS;2773602
3 Empresas Pymes;3.2 VIP Estándar;6;2018;RyT;Club la Colina;7277732
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;6;2017;MS;SUPERMERCADOS;1670259
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;12;2018;RyT;Club El Cubo;25668197
6 Otros;No Afiliada;6;2018;Educación y Cultura;TEATRO;14410186
1 Emp Grandes;1.1 Platinum;11;2018;Salud;;49810182
4 Micro;4.8 Transaccional - Pensionado;3;2018;RyT;Hotel Peñalisa;46483
3 Empresas Pymes;3.2 VIP Estándar;9;2018;MS;DROGUERIAS;30010167
5 Micro;5.1 Colsubsidio;6;2018;Educación y Cultura;TEATRO;NA
2 Emp Medio;2.2 Silver;8;2018;AyB;SALONES CALLE 26;4148620
2 Emp Medio;2.2 Silver;5;2018;Salud;CHEQUEOS;1730576
4 Micro;4.5 Transaccional;4;2017;Vivienda;SubsidioAsignado;458859974
1 Emp Grandes;1.1 Platinum;7;2018;Educación y Cultura;TEATRO;839124
2 Emp Medio;2.1 Gold;4;2018;AyB;CATERING;67847326
6 Otros;No Afiliada;4;2018;RyT;Programas Recreativos;89041987
4 Micro;4.5 Transaccional;6;2018;RyT;Club la Colina;4739760
6 Otros;No Afiliada;8;2017;Vivienda;Fecha Entrega;10553636950
6 Otros;No Afiliada;10;2017;MS;DROGUERIAS;392462411
1 Emp Grandes;1.2 Premium;9;2018;RyT;Piscilago;19514467
6 Otros;No Afiliada;5;2018;MS;DROGUERIAS;480443263
1 Emp Grandes;1.1 Platinum;7;2018;AyB;CATERING;21515451
3 Empresas Pymes;3.1 VIP;7;2018;Salud;;56442882
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;RyT;Piscilago;4963139
6 Otros;No Afiliada;2;2018;RyT;Club El Cubo;14470838
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2017;Salud;EMPRESARIAL;949800
1 Emp Grandes;1.1 Platinum;2;2018;Salud;CHEQUEOS;100
4 Micro;4.5 Transaccional;3;2018;RyT;Hotel Peñalisa;35525492
5 Micro;5.1 Colsubsidio;10;2018;AyB;CATERING;37952797
2 Emp Medio;2.1 Gold;7;2018;AyB;SALONES CALLE 26;622830
4 Micro;4.5 Transaccional;2;2018;RyT;Club Bellavista;8802124
5 Micro;5.1 Colsubsidio;1;2018;RyT;Hotel Paipa;5802152
2 Emp Medio;2.2 Silver;9;2018;RyT;Club El Cubo;31172918
4 Micro;4.5 Transaccional;5;2017;Vivienda;SubsidioEntregado;251533300
6 Otros;No afiliada;7;2017;Salud;EMPRESARIAL;1057200
3 Empresas Pymes;3.2 VIP Estándar;2;2018;MS;SUPERMERCADOS;258159588
2 Emp Medio;2.2 Silver;12;2017;Vivienda;SubsidioEntregado;11803472
5 Micro;5.1 Colsubsidio;12;2018;RyT;Programas Deportivos;0
6 Otros;No afiliada;5;2017;Vivienda;SubsidioEntregado;42143732
1 Emp Grandes;1.2 Premium;9;2018;Salud;;11906500
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;5;2018;RyT;Club la Colina;1335966
2 Emp Medio;2.1 Gold;1;2018;MS;DROGUERIAS;3426103
3 Empresas Pymes;3.1 VIP;5;2017;Vivienda;Fecha Entrega;166980000
3 Empresas Pymes;3.2 VIP Estándar;7;2018;Salud;CHEQUEOS;11614415
2 Emp Medio;2.1 Gold;5;2018;RyT;Programas Deportivos;6781125
4 Micro;4.1 Estándar;5;2018;MS;DROGUERIAS;373440
2 Emp Medio;2.2 Silver;7;2018;Educación y Cultura;ARTES;11008864,93
6 Otros;No Afiliada;2;2018;RyT;Club Bellavista;39518730
3 Empresas Pymes;3.2 VIP Estándar;4;2017;MS;SUPERMERCADOS;45822
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2018;Salud;;135000
6 Otros;No afiliada;5;2017;MS;SUPERMERCADOS;136991225
4 Micro;4.1 Estándar;10;2018;RyT;Hotel Bosques de Athan;13434167
1 Emp Grandes;1.1 Platinum;5;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;1136558
4 Micro;4.1 Estándar;9;2018;RyT;Programas Deportivos;9466271
4 Micro;4.5 Transaccional;8;2018;RyT;Programas Recreativos;3915000
2 Emp Medio;2.1 Gold;9;2018;Educación y Cultura;EDUCACION INICIAL;3155880
6 Otros;No Afiliada;9;2017;Vivienda;SubsidioAsignado;7391924340
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Hotel Peñalisa;18385568
2 Emp Medio;2.1 Gold;4;2018;RyT;Club la Colina;19479784
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2018;RyT;Club la Colina;1539579
4 Micro;4.5 Transaccional;11;2018;RyT;Club El Cubo;12473422
3 Empresas Pymes;3.1 VIP;10;2018;RyT;Club Calle 195;5305722
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2017;Vivienda;Fecha Entrega;197322000
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;Salud;;22466800
6 Otros;No Afiliada;5;2018;RyT;Eventos y Convenciones;39892979
4 Micro;4.1 Estándar;6;2018;RyT;Club la Colina;996079
5 Micro;5.1 Colsubsidio;1;2018;RyT;Club El Cubo;3578356
1 Emp Grandes;1.1 Platinum;10;2018;MS;SUPERMERCADOS;694618102
2 Emp Medio;2.1 Gold;5;2018;MS;SUPERMERCADOS;514478553
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;1;2017;MS;SUPERMERCADOS;4152095
2 Emp Medio;2.2 Silver;8;2018;RyT;Eventos y Convenciones;71240233
6 Otros;No Afiliada;7;2018;MS;SUPERMERCADOS;1819943375
1 Emp Grandes;1.2 Premium;8;2018;AyB;CATERING;12232112
3 Empresas Pymes;3.2 VIP Estándar;8;2017;Vivienda;SubsidioAsignado;22131510
1 Emp Grandes;1.2 Premium;9;2018;RyT;Club Bellavista;9774695
3 Empresas Pymes;3.2 VIP Estándar;1;2018;RyT;Club El Cubo;16144324
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;AyB;CATERING;250202
1 Emp Grandes;1.1 Platinum;12;2018;RyT;Otros;23904495
4 Micro;4.5 Transaccional;5;2017;RyT;;5172
2 Emp Medio;2.1 Gold;7;2018;RyT;Programas Recreativos;60250532
5 Micro;5.1 Colsubsidio;11;2018;RyT;Club Bellavista;-8509265
1 Emp Grandes;1.1 Platinum;12;2018;RyT;Hotel Bosques de Athan;29315397
2 Emp Medio;2.1 Gold;9;2018;MS;SUPERMERCADOS;581939729
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Club Calle 195;2030068
3 Empresas Pymes;3.2 VIP Estándar;8;2018;RyT;Programas Deportivos;9912926
4 Micro;4.5 Transaccional;1;2018;RyT;Club Bellavista;50340245
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Club Calle 195;2119164
3 Empresas Pymes;3.2 VIP Estándar;12;2018;Salud;CHEQUEOS;7266700
4 Micro;4.7 Transaccional - Independiente;5;2018;RyT;Club la Colina;372609
2 Emp Medio;2.1 Gold;12;2018;RyT;Piscilago;41868887
4 Micro;4.8 Transaccional - Pensionado;9;2018;MS;DROGUERIAS;376705
2 Emp Medio;2.2 Silver;7;2018;RyT;Club Bellavista;6383859
2 Emp Medio;2.2 Silver;7;2018;MS;SUPERMERCADOS;5843041779
3 Empresas Pymes;3.1 VIP;11;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;4873050
4 Micro;4.2 Trans. Mas de 100 Trab.;6;2018;Salud;;2250900
6 Otros;No Afiliada;7;2018;Salud;;29436800
1 Emp Grandes;1.2 Premium;3;2018;AyB;CATERING;21732695
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Programas Recreativos;1229237
3 Empresas Pymes;3.1 VIP;2;2018;Salud;;71122600
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;MS;DROGUERIAS;5257541
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;7;2017;Vivienda;SubsidioAsignado;59017360
4 Micro;4.8 Transaccional - Pensionado;1;2017;MS;DROGUERIAS;1297798
4 Micro;4.5 Transaccional;2;2017;Vivienda;Fecha Entrega;1096018210
6 Otros;No Afiliada;3;2018;RyT;Club El Cubo;3615935
1 Emp Grandes;1.2 Premium;9;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;4100000
4 Micro;4.5 Transaccional;5;2017;Educacion;Museo;782000
6 Otros;No Afiliada;10;2018;RyT;Hotel Bosques de Athan;7849779
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;10;2018;MS;DROGUERIAS;5966758
3 Empresas Pymes;3.1 VIP;2;2018;Salud;CHEQUEOS;796191
6 Otros;No Afiliada;7;2018;RyT;Hotel Peñalisa;17000404
2 Emp Medio;2.1 Gold;6;2018;Educación y Cultura;EDUCACION INICIAL;523279616
1 Emp Grandes;1.2 Premium;1;2018;RyT;Otros;1600607
3 Empresas Pymes;3.2 VIP Estándar;3;2018;RyT;Programas Deportivos;1235964
6 Otros;No afiliada;8;2017;Vivienda;SubsidioAsignado;22131510
4 Micro;4.5 Transaccional;11;2018;RyT;Programas Deportivos;6062153
1 Emp Grandes;1.1 Platinum;7;2018;RyT;Hotel Paipa;27133994
1 Emp Grandes;1.2 Premium;6;2018;RyT;Hotel Paipa;496112
1 Emp Grandes;1.1 Platinum;4;2018;RyT;Club la Colina;9419778
6 Otros;No Afiliada;10;2018;RyT;Club la Colina;36095990
1 Emp Grandes;1.1 Platinum;3;2018;RyT;Club El Cubo;128160397
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;RyT;Hotel Bosques de Athan;6340029
3 Empresas Pymes;3.2 VIP Estándar;10;2018;MS;DROGUERIAS;40534708
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;6;2017;Vivienda;SubsidioEntregado;27642625
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Programas Deportivos;1527988
6 Otros;No Afiliada;2;2018;RyT;Hotel Peñalisa;108595093
6 Otros;No Afiliada;10;2018;RyT;Piscilago;780784504
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2017;Vivienda;SubsidioAsignado;125411890
2 Emp Medio;2.2 Silver;3;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;25898932
2 Emp Medio;2.2 Silver;11;2018;Educación y Cultura;Teatro;12109400
3 Empresas Pymes;3.1 VIP;2;2018;MS;DROGUERIAS;39116635
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Club Bellavista;278665459
6 Otros;No Afiliada;12;2017;MS;#;339694183
1 Emp Grandes;1.2 Premium;3;2018;RyT;Club la Colina;18873424
6 Otros;No Afiliada;9;2018;RyT;Hotel Alcaravan;5132102
1 Emp Grandes;1.1 Platinum;5;2018;RyT;Club El Cubo;45910936
5 Micro;5.1 Colsubsidio;7;2018;Educación y Cultura;Campus;3339000
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;11;2017;Vivienda;Fecha Opcion;348198000
3 Empresas Pymes;3.2 VIP Estándar;2;2017;Vivienda;SubsidioEntregado;20250650
2 Emp Medio;2.2 Silver;10;2018;MS;DROGUERIAS;680588914
5 Micro;5.1 Colsubsidio;9;2018;RyT;Club El Cubo;677037
6 Otros;No Afiliada;2;2018;RyT;Club Calle 195;3899000
4 Micro;4.5 Transaccional;7;2018;RyT;Club la Colina;1563774
2 Emp Medio;2.2 Silver;8;2018;AyB;CATERING;30928461
4 Micro;4.5 Transaccional;1;2018;RyT;Eventos y Convenciones;14266424
6 Otros;No Afiliada;6;2018;RyT;Hotel Alcaravan;15445324
4 Micro;4.7 Transaccional - Independiente;5;2018;Salud;CHEQUEOS;551550
4 Micro;4.5 Transaccional;10;2018;RyT;Club la Colina;6190808
6 Otros;No Afiliada;3;2018;Salud;;25157794
4 Micro;4.5 Transaccional;4;2018;RyT;Piscilago;3404075
4 Micro;4.7 Transaccional - Independiente;2;2018;RyT;Hotel Peñalisa;67594
6 Otros;No Afiliada;4;2017;RyT;;1363306562
6 Otros;No afiliada;2;2017;Educacion;DPTO CULTURA Y BILBIOTECAS;1035455
1 Emp Grandes;1.2 Premium;12;2018;Salud;CHEQUEOS;36856000
2 Emp Medio;2.2 Silver;6;2018;RyT;Hotel Peñalisa;1
4 Micro;4.5 Transaccional;12;2018;RyT;Hotel Peñalisa;1962848
6 Otros;No Afiliada;11;2018;RyT;Piscilago;1074281667
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2017;MS;SUPERMERCADOS;3634365
6 Otros;No Afiliada;11;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;70086960
3 Empresas Pymes;3.1 VIP;9;2017;Vivienda;Fecha Entrega;185322000
1 Emp Grandes;1.2 Premium;2;2018;RyT;Eventos y Convenciones;8006411
2 Emp Medio;2.2 Silver;9;2018;MS;SUPERMERCADOS;6083067418
1 Emp Grandes;1.2 Premium;12;2018;RyT;Hotel Paipa;3953789
4 Micro;4.5 Transaccional;10;2017;MS;SUPERMERCADOS;4429337948
4 Micro;4.8 Transaccional - Pensionado;3;2018;MS;SUPERMERCADOS;730493
6 Otros;No Afiliada;2;2018;RyT;Club la Colina;11918004
1 Emp Grandes;1.1 Platinum;8;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;1320832
3 Empresas Pymes;3.1 VIP;4;2018;RyT;Programas Deportivos;7934986
4 Micro;4.1 Estándar;7;2017;Vivienda;SubsidioAsignado;22131510
4 Micro;4.8 Transaccional - Pensionado;5;2017;MS;DROGUERIAS;2348876
3 Empresas Pymes;3.1 VIP;5;2018;RyT;Club la Colina;9718333
4 Micro;4.5 Transaccional;12;2018;RyT;Piscilago;43738543
6 Otros;No afiliada;2;2017;MS;SUPERMERCADOS;126732743
3 Empresas Pymes;3.2 VIP Estándar;11;2017;Vivienda;SubsidioAsignado;14754340
4 Micro;4.5 Transaccional;4;2017;Vivienda;Fecha Entrega;310280000
4 Micro;4.8 Transaccional - Pensionado;11;2018;RyT;Programas Deportivos;30084
3 Empresas Pymes;3.1 VIP;7;2018;MS;DROGUERIAS;33351999
1 Emp Grandes;1.2 Premium;10;2018;RyT;Hotel Paipa;13795956
6 Otros;No Afiliada;4;2018;RyT;Club El Cubo;35778859
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;MS;DROGUERIAS;3479137
2 Emp Medio;2.2 Silver;12;2018;RyT;Club Bellavista;346203471
1 Emp Grandes;1.1 Platinum;12;2018;RyT;Club la Colina;56285123
2 Emp Medio;2.1 Gold;5;2018;RyT;Club Bellavista;24101204
2 Emp Medio;2.2 Silver;5;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;2189543
6 Otros;No afiliada;4;2017;Salud;EMPRESARIAL;1088600
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Eventos y Convenciones;96014106
2 Emp Medio;2.1 Gold;8;2018;Salud;CHEQUEOS;1730576
6 Otros;No Afiliada;4;2018;Educación y Cultura;Campus;0
